ds,yL,yH,yO,yC
5/27/2021 23:59,40379.61767,37247.90368,39316.88968,38436.96854
5/28/2021 23:59,38856.96789,34779.03943,38507.08308,35697.60639
5/29/2021 23:59,37234.49848,33693.92946,35684.15688,34616.068
5/30/2021 23:59,36400.66888,33520.73796,34607.40598,35678.1292
5/31/2021 23:59,37468.24899,34241.94356,35658.59296,37332.85369
6/1/2021 23:59,37896.73619,35787.08597,37293.79237,36684.92452
6/2/2021 23:59,38231.33918,35966.30716,36699.92292,37575.17958
6/3/2021 23:59,39478.95118,37243.97373,37599.40994,39208.76599
6/4/2021 23:59,39242.48626,35717.7223,39242.48626,36894.40533
6/5/2021 23:59,37917.71415,34900.41224,36880.15597,35551.95873
6/6/2021 23:59,36436.42096,35304.58008,35538.60873,35862.37773
6/7/2021 23:59,36790.57216,33480.64124,35835.26551,33560.70784
6/8/2021 23:59,34017.38798,31114.44247,33589.52086,33472.63175
6/9/2021 23:59,37537.37115,32475.86603,33416.97785,37345.12149
6/10/2021 23:59,38334.32544,35847.59364,37389.51565,36702.59937
6/11/2021 23:59,37608.69429,36044.44991,36697.03129,37334.39953
6/12/2021 23:59,37408.9256,34728.1901,37340.14284,35552.51715
6/13/2021 23:59,39322.78021,34864.10994,35555.79014,39097.8609
6/14/2021 23:59,40978.36448,38757.28412,39016.97018,40218.47786
6/15/2021 23:59,41295.26857,39609.4692,40427.16992,40406.26899
6/16/2021 23:59,40516.77683,38176.03418,40168.69037,38347.06323
6/17/2021 23:59,39513.67016,37439.67411,38341.4238,38053.50417
6/18/2021 23:59,38187.26016,35255.85492,38099.47705,35787.24478
6/19/2021 23:59,36457.79628,34933.06225,35854.52922,35615.86927
6/20/2021 23:59,36059.48352,33432.07604,35563.13941,35698.29644
6/21/2021 23:59,35721.63963,31295.93553,35641.14606,31676.69373
6/22/2021 23:59,33292.45476,28893.62166,31622.37709,32505.65982
6/23/2021 23:59,34753.4085,31772.63236,32515.7143,33723.02898
6/24/2021 23:59,35228.85261,32385.2147,33682.8004,34662.43589
6/25/2021 23:59,35487.248,31350.88386,34659.1045,31637.78006
6/26/2021 23:59,32637.58719,30184.50179,31594.66357,32186.27767
6/27/2021 23:59,34656.12736,32071.75715,32287.52321,34649.64459
6/28/2021 23:59,35219.89179,33902.07589,34679.12222,34434.33531
6/29/2021 23:59,36542.11102,34252.48489,34475.5597,35867.77774
6/30/2021 23:59,36074.75976,34086.15188,35908.38805,35040.83725
7/1/2021 23:59,35035.98271,32883.78123,35035.98271,33572.11765
7/2/2021 23:59,33939.5887,32770.68078,33549.60018,33897.04859
7/3/2021 23:59,34909.2599,33402.69654,33854.42136,34668.5484
7/4/2021 23:59,35937.56715,34396.47746,34665.56487,35287.77977
7/5/2021 23:59,35284.34443,33213.66103,35284.34443,33746.00246
7/6/2021 23:59,35038.53636,33599.91617,33723.50966,34235.19345
